trace_id,timestamp,domain,latency_ms,is_error
42-trace-0001016,2026-08-18T15:12:40.415566+00:00,pix,83.94,False
42-trace-0008563,2026-08-18T15:33:15.711268+00:00,checkout,257.94,False
42-trace-0012121,2026-08-18T15:16:06.119651+00:00,site_latency,204.43,False
42-trace-0021550,2026-08-18T15:20:51.151769+00:00,api_generic,47.56,False
42-trace-0002089,2026-08-18T15:21:17.119811+00:00,pix,96.28,False
42-trace-0011353,2026-08-18T15:13:26.508444+00:00,site_latency,329.18,False
42-trace-0010773,2026-08-18T15:11:22.408863+00:00,site_latency,213.23,False
42-trace-0013285,2026-08-18T15:19:58.265791+00:00,site_latency,121.05,False
42-trace-0009925,2026-08-18T15:08:25.795578+00:00,site_latency,192.72,False
42-trace-0020381,2026-08-18T15:15:59.116864+00:00,api_generic,316.91,True
42-trace-0023886,2026-08-18T15:30:07.047438+00:00,api_generic,63.72,False
42-trace-0018580,2026-08-18T15:08:35.190793+00:00,api_generic,142.58,False
42-trace-0000974,2026-08-18T15:12:23.639124+00:00,pix,148.92,False
42-trace-0023188,2026-08-18T15:27:24.231317+00:00,api_generic,81.06,False
42-trace-0009629,2026-08-18T15:07:27.712293+00:00,site_latency,88.5,False
42-trace-0006456,2026-08-18T15:20:30.206448+00:00,checkout,376.97,False
42-trace-0008005,2026-08-18T15:29:43.918587+00:00,checkout,208.49,False
42-trace-0016140,2026-08-18T15:29:40.098034+00:00,site_latency,201.49,False
42-trace-0019446,2026-08-18T15:12:12.027376+00:00,api_generic,117.27,False
42-trace-0019564,2026-08-18T15:12:42.211968+00:00,api_generic,105.25,False
42-trace-0005346,2026-08-18T15:13:44.760534+00:00,checkout,269.41,False
42-trace-0011753,2026-08-18T15:14:47.934319+00:00,site_latency,751.1,False
42-trace-0000973,2026-08-18T15:12:23.145338+00:00,pix,129.75,False
42-trace-0018192,2026-08-18T15:07:06.480402+00:00,api_generic,92.12,False
42-trace-0006186,2026-08-18T15:18:58.424332+00:00,checkout,2837.27,False
42-trace-0023171,2026-08-18T15:27:19.973552+00:00,api_generic,84.27,False
42-trace-0001435,2026-08-18T15:16:02.819188+00:00,pix,130.38,False
42-trace-0013062,2026-08-18T15:19:14.319864+00:00,site_latency,519.61,False
42-trace-0022391,2026-08-18T15:24:06.399736+00:00,api_generic,63.22,False
42-trace-0017640,2026-08-18T15:04:56.032960+00:00,api_generic,176.06,False
42-trace-0021766,2026-08-18T15:21:40.106119+00:00,api_generic,131.63,False
42-trace-0016498,2026-08-18T15:30:58.997910+00:00,site_latency,524.75,False
42-trace-0015714,2026-08-18T15:28:09.982639+00:00,site_latency,152.58,False
42-trace-0001863,2026-08-18T15:19:27.056046+00:00,pix,196.74,False
42-trace-0005838,2026-08-18T15:16:48.739451+00:00,checkout,138.25,False
42-trace-0024396,2026-08-18T15:32:06.375185+00:00,api_generic,40.64,False
42-trace-0004124,2026-08-18T15:06:36.697148+00:00,checkout,482.79,True
42-trace-0000392,2026-08-18T15:07:45.587979+00:00,pix,122.3,False
42-trace-0024819,2026-08-18T15:33:46.488512+00:00,api_generic,49.67,False
42-trace-0002659,2026-08-18T15:25:39.318666+00:00,pix,617.98,False
42-trace-0019005,2026-08-18T15:10:24.720797+00:00,api_generic,137.08,False
42-trace-0011393,2026-08-18T15:13:35.752115+00:00,site_latency,123.44,False
42-trace-0014815,2026-08-18T15:25:05.220985+00:00,site_latency,340.04,False
42-trace-0021529,2026-08-18T15:20:46.374242+00:00,api_generic,153.91,False
42-trace-0019884,2026-08-18T15:13:59.156170+00:00,api_generic,158.3,False
42-trace-0010536,2026-08-18T15:10:33.313353+00:00,site_latency,270.02,False
42-trace-0008547,2026-08-18T15:33:09.681083+00:00,checkout,241.63,False
42-trace-0003188,2026-08-18T15:29:47.727104+00:00,pix,93.16,False
42-trace-0003902,2026-08-18T15:05:18.761452+00:00,checkout,249.95,False
42-trace-0007467,2026-08-18T15:26:27.666810+00:00,checkout,242.11,False
42-trace-0018673,2026-08-18T15:08:59.207844+00:00,api_generic,158.59,False
42-trace-0024289,2026-08-18T15:31:41.125154+00:00,api_generic,169.03,False
42-trace-0005748,2026-08-18T15:16:19.937973+00:00,checkout,201.84,False
42-trace-0000630,2026-08-18T15:09:41.023710+00:00,pix,51.57,False
42-trace-0024281,2026-08-18T15:31:39.193910+00:00,api_generic,102.72,False
42-trace-0018533,2026-08-18T15:08:23.421742+00:00,api_generic,119.37,False
42-trace-0006831,2026-08-18T15:22:40.604984+00:00,checkout,3440.78,False
42-trace-0006929,2026-08-18T15:23:14.486798+00:00,checkout,349.73,False
42-trace-0003006,2026-08-18T15:28:17.431698+00:00,pix,102.06,False
42-trace-0013789,2026-08-18T15:21:41.424182+00:00,site_latency,395.28,False
42-trace-0023989,2026-08-18T15:30:28.972513+00:00,api_generic,72.56,False
42-trace-0007460,2026-08-18T15:26:23.584868+00:00,checkout,190.22,False
42-trace-0022713,2026-08-18T15:25:28.757375+00:00,api_generic,133.02,False
42-trace-0016606,2026-08-18T15:31:24.309125+00:00,site_latency,161.65,False
42-trace-0013691,2026-08-18T15:21:21.662607+00:00,site_latency,149.99,False
42-trace-0003086,2026-08-18T15:29:00.460581+00:00,pix,155.44,False
42-trace-0018576,2026-08-18T15:08:34.146438+00:00,api_generic,130.51,False
42-trace-0015546,2026-08-18T15:27:34.984221+00:00,site_latency,161.81,False
42-trace-0014241,2026-08-18T15:23:12.104814+00:00,site_latency,262.99,False
42-trace-0018602,2026-08-18T15:08:42.718466+00:00,api_generic,66.53,False
42-trace-0001206,2026-08-18T15:14:11.187020+00:00,pix,94.78,False
42-trace-0023024,2026-08-18T15:26:47.567996+00:00,api_generic,164.52,False
42-trace-0012973,2026-08-18T15:18:57.198875+00:00,site_latency,176.71,False
42-trace-0001263,2026-08-18T15:14:39.740084+00:00,pix,158.54,False
42-trace-0023047,2026-08-18T15:26:51.686251+00:00,api_generic,159.31,False
42-trace-0019375,2026-08-18T15:11:54.301944+00:00,api_generic,28.7,False
42-trace-0014818,2026-08-18T15:25:05.723972+00:00,site_latency,132.96,False
42-trace-0006241,2026-08-18T15:19:17.897665+00:00,checkout,285.16,False
42-trace-0015836,2026-08-18T15:28:36.518031+00:00,site_latency,64.14,False
42-trace-0009039,2026-08-18T15:05:27.871676+00:00,site_latency,101.68,False
42-trace-0006077,2026-08-18T15:18:16.774071+00:00,checkout,247.62,False
42-trace-0001928,2026-08-18T15:19:56.622731+00:00,pix,84.05,False
42-trace-0014357,2026-08-18T15:23:34.177252+00:00,site_latency,50.14,False
42-trace-0001906,2026-08-18T15:19:47.732965+00:00,pix,79.93,False
42-trace-0008156,2026-08-18T15:30:39.900306+00:00,checkout,331.86,False
42-trace-0020452,2026-08-18T15:16:13.422901+00:00,api_generic,43.25,False
42-trace-0004781,2026-08-18T15:10:28.504725+00:00,checkout,453.52,False
42-trace-0002624,2026-08-18T15:25:25.082819+00:00,pix,129.22,False
42-trace-0023775,2026-08-18T15:29:39.978667+00:00,api_generic,140.69,False
42-trace-0023469,2026-08-18T15:28:34.700358+00:00,api_generic,188.21,False
42-trace-0017376,2026-08-18T15:34:02.010175+00:00,site_latency,116.77,False
42-trace-0006206,2026-08-18T15:19:04.688118+00:00,checkout,212.54,False
42-trace-0022418,2026-08-18T15:24:12.881589+00:00,api_generic,127.0,False
42-trace-0012000,2026-08-18T15:15:40.455932+00:00,site_latency,47.46,False
42-trace-0022206,2026-08-18T15:23:23.466784+00:00,api_generic,84.26,False
42-trace-0006584,2026-08-18T15:21:11.964022+00:00,checkout,243.03,False
42-trace-0006185,2026-08-18T15:18:58.220116+00:00,checkout,1009.22,False
42-trace-0005401,2026-08-18T15:14:08.935678+00:00,checkout,551.04,False
42-trace-0024547,2026-08-18T15:32:43.199036+00:00,api_generic,59.07,False
42-trace-0003672,2026-08-18T15:33:45.946784+00:00,pix,144.29,False
42-trace-0001066,2026-08-18T15:13:05.155472+00:00,pix,117.5,False
42-trace-0016674,2026-08-18T15:31:37.548504+00:00,site_latency,263.97,False
42-trace-0013429,2026-08-18T15:20:28.650306+00:00,site_latency,164.35,False
42-trace-0001421,2026-08-18T15:15:54.224776+00:00,pix,111.21,False
42-trace-0016574,2026-08-18T15:31:16.783593+00:00,site_latency,26.29,False
42-trace-0005109,2026-08-18T15:12:15.554495+00:00,checkout,377.62,False
42-trace-0000834,2026-08-18T15:11:13.209709+00:00,pix,105.06,False
42-trace-0019454,2026-08-18T15:12:13.214100+00:00,api_generic,108.27,False
42-trace-0022187,2026-08-18T15:23:18.980434+00:00,api_generic,74.67,False
42-trace-0006776,2026-08-18T15:22:22.773708+00:00,checkout,266.44,False
42-trace-0004490,2026-08-18T15:08:44.283741+00:00,checkout,339.08,False
42-trace-0019865,2026-08-18T15:13:53.742263+00:00,api_generic,43.81,False
42-trace-0021190,2026-08-18T15:19:23.215517+00:00,api_generic,135.5,False
42-trace-0009783,2026-08-18T15:07:57.116166+00:00,site_latency,43.4,False
42-trace-0009414,2026-08-18T15:06:43.984745+00:00,site_latency,182.45,False
42-trace-0011477,2026-08-18T15:13:49.089140+00:00,site_latency,136.63,False
42-trace-0012096,2026-08-18T15:16:01.561756+00:00,site_latency,97.82,False
42-trace-0006665,2026-08-18T15:21:46.134446+00:00,checkout,206.83,False
42-trace-0015816,2026-08-18T15:28:31.050620+00:00,site_latency,94.43,False
42-trace-0005007,2026-08-18T15:11:41.710742+00:00,checkout,341.14,False
42-trace-0011363,2026-08-18T15:13:29.728804+00:00,site_latency,823.04,False
42-trace-0006130,2026-08-18T15:18:39.582060+00:00,checkout,343.3,False
42-trace-0005904,2026-08-18T15:17:12.375317+00:00,checkout,378.03,False
42-trace-0013953,2026-08-18T15:22:12.620889+00:00,site_latency,146.53,False
42-trace-0023577,2026-08-18T15:28:57.521291+00:00,api_generic,42.47,False
42-trace-0010057,2026-08-18T15:08:50.511665+00:00,site_latency,201.99,False
42-trace-0007968,2026-08-18T15:29:30.508965+00:00,checkout,769.57,True
42-trace-0013523,2026-08-18T15:20:48.817623+00:00,site_latency,211.27,False
42-trace-0014177,2026-08-18T15:22:58.915284+00:00,site_latency,64.36,False
42-trace-0020506,2026-08-18T15:16:27.271276+00:00,api_generic,57.48,False
42-trace-0005263,2026-08-18T15:13:11.756909+00:00,checkout,629.27,False
42-trace-0002987,2026-08-18T15:28:10.724794+00:00,pix,129.18,False
42-trace-0011064,2026-08-18T15:12:23.930511+00:00,site_latency,331.65,False
42-trace-0017102,2026-08-18T15:33:04.989830+00:00,site_latency,72.38,False
