trace_id,timestamp,domain,latency_ms,is_error
42-trace-0008751,2026-08-18T15:04:25.718086+00:00,site_latency,75.18,False
42-trace-0003751,2026-08-18T15:04:25.743615+00:00,checkout,500.8,False
42-trace-0017501,2026-08-18T15:04:25.794861+00:00,api_generic,165.23,False
42-trace-0000001,2026-08-18T15:04:25.919010+00:00,pix,133.51,False
42-trace-0003752,2026-08-18T15:04:25.950851+00:00,checkout,232.7,False
42-trace-0003753,2026-08-18T15:04:25.967831+00:00,checkout,153.52,False
42-trace-0000002,2026-08-18T15:04:26.050232+00:00,pix,83.39,False
42-trace-0017502,2026-08-18T15:04:26.053861+00:00,api_generic,230.2,False
42-trace-0008752,2026-08-18T15:04:26.091526+00:00,site_latency,175.45,False
42-trace-0003754,2026-08-18T15:04:26.165791+00:00,checkout,165.84,False
42-trace-0008753,2026-08-18T15:04:26.213985+00:00,site_latency,326.4,False
42-trace-0017503,2026-08-18T15:04:26.217651+00:00,api_generic,90.7,False
42-trace-0008754,2026-08-18T15:04:26.601408+00:00,site_latency,80.43,False
42-trace-0003755,2026-08-18T15:04:26.688695+00:00,checkout,260.74,False
42-trace-0008755,2026-08-18T15:04:26.780397+00:00,site_latency,104.73,False
42-trace-0000003,2026-08-18T15:04:26.936493+00:00,pix,156.05,False
42-trace-0017504,2026-08-18T15:04:27.101116+00:00,api_generic,70.36,False
42-trace-0003756,2026-08-18T15:04:27.301726+00:00,checkout,579.3,False
42-trace-0008756,2026-08-18T15:04:27.417423+00:00,site_latency,130.7,False
42-trace-0017505,2026-08-18T15:04:27.448571+00:00,api_generic,81.46,False
42-trace-0003757,2026-08-18T15:04:27.533018+00:00,checkout,216.15,False
42-trace-0017506,2026-08-18T15:04:27.685554+00:00,api_generic,80.2,False
42-trace-0008757,2026-08-18T15:04:27.811544+00:00,site_latency,220.91,False
42-trace-0017507,2026-08-18T15:04:27.822635+00:00,api_generic,66.96,False
42-trace-0003758,2026-08-18T15:04:27.829016+00:00,checkout,229.39,False
42-trace-0008758,2026-08-18T15:04:28.039109+00:00,site_latency,665.35,False
42-trace-0000004,2026-08-18T15:04:28.065447+00:00,pix,166.78,False
42-trace-0008759,2026-08-18T15:04:28.155245+00:00,site_latency,487.69,False
42-trace-0008760,2026-08-18T15:04:28.287880+00:00,site_latency,189.26,False
42-trace-0000005,2026-08-18T15:04:28.522069+00:00,pix,60.62,False
42-trace-0017508,2026-08-18T15:04:28.522824+00:00,api_generic,42.54,False
42-trace-0017509,2026-08-18T15:04:28.588103+00:00,api_generic,45.88,False
42-trace-0003759,2026-08-18T15:04:28.707947+00:00,checkout,227.28,False
42-trace-0017510,2026-08-18T15:04:28.788982+00:00,api_generic,126.68,False
42-trace-0017511,2026-08-18T15:04:28.815351+00:00,api_generic,130.94,False
42-trace-0008761,2026-08-18T15:04:28.848475+00:00,site_latency,180.57,False
42-trace-0008762,2026-08-18T15:04:29.093839+00:00,site_latency,152.52,False
42-trace-0017512,2026-08-18T15:04:29.146825+00:00,api_generic,105.9,False
42-trace-0008763,2026-08-18T15:04:29.279926+00:00,site_latency,175.34,False
42-trace-0003760,2026-08-18T15:04:29.616735+00:00,checkout,236.16,False
42-trace-0017513,2026-08-18T15:04:29.639024+00:00,api_generic,79.74,False
42-trace-0000006,2026-08-18T15:04:29.815345+00:00,pix,76.08,False
42-trace-0008764,2026-08-18T15:04:29.857027+00:00,site_latency,139.4,False
42-trace-0017514,2026-08-18T15:04:29.893278+00:00,api_generic,69.91,False
