trace_id,timestamp,domain,latency_ms,is_error
99-trace-0017504,2026-08-18T15:04:27.762611+00:00,api_generic,238.1,False
99-trace-0017513,2026-08-18T15:04:29.215568+00:00,api_generic,613.96,False
99-trace-0003756,2026-08-18T15:04:29.385066+00:00,checkout,777.99,False
99-trace-0003759,2026-08-18T15:04:29.660343+00:00,checkout,277.01,False
99-trace-0017518,2026-08-18T15:04:29.878829+00:00,api_generic,593.31,False
99-trace-0000014,2026-08-18T15:04:30.717358+00:00,pix,230.18,True
99-trace-0008786,2026-08-18T15:04:32.963278+00:00,site_latency,991.53,False
99-trace-0008790,2026-08-18T15:04:33.963596+00:00,site_latency,650.73,False
99-trace-0003778,2026-08-18T15:04:36.753662+00:00,checkout,283.61,False
99-trace-0017542,2026-08-18T15:04:36.853021+00:00,api_generic,244.6,False
99-trace-0000035,2026-08-18T15:04:37.633722+00:00,pix,238.37,False
99-trace-0003781,2026-08-18T15:04:37.886134+00:00,checkout,766.54,False
99-trace-0017552,2026-08-18T15:04:38.053100+00:00,api_generic,129.57,False
99-trace-0008805,2026-08-18T15:04:38.419172+00:00,site_latency,875.51,False
99-trace-0017565,2026-08-18T15:04:41.194174+00:00,api_generic,312.6,False
99-trace-0017566,2026-08-18T15:04:41.218378+00:00,api_generic,453.97,False
99-trace-0008834,2026-08-18T15:04:44.762808+00:00,site_latency,627.19,False
99-trace-0008837,2026-08-18T15:04:45.643559+00:00,site_latency,619.52,False
99-trace-0003812,2026-08-18T15:04:47.393578+00:00,checkout,315.62,False
99-trace-0003815,2026-08-18T15:04:47.910066+00:00,checkout,456.25,True
99-trace-0008851,2026-08-18T15:04:48.527136+00:00,site_latency,1650.49,False
99-trace-0008858,2026-08-18T15:04:49.819091+00:00,site_latency,773.46,False
99-trace-0008860,2026-08-18T15:04:49.864450+00:00,site_latency,458.94,True
99-trace-0008875,2026-08-18T15:04:51.982035+00:00,site_latency,678.29,False
99-trace-0008876,2026-08-18T15:04:51.989200+00:00,site_latency,301.49,True
99-trace-0003837,2026-08-18T15:04:54.373688+00:00,checkout,891.8,True
99-trace-0008894,2026-08-18T15:04:54.993381+00:00,site_latency,500.73,False
99-trace-0000071,2026-08-18T15:04:55.739646+00:00,pix,244.74,False
99-trace-0008904,2026-08-18T15:04:56.751800+00:00,site_latency,600.23,False
99-trace-0017635,2026-08-18T15:04:56.977405+00:00,api_generic,241.76,False
99-trace-0017636,2026-08-18T15:04:57.221838+00:00,api_generic,742.3,False
99-trace-0017639,2026-08-18T15:04:57.894520+00:00,api_generic,293.82,False
99-trace-0003851,2026-08-18T15:05:00.183321+00:00,checkout,1548.33,False
99-trace-0000085,2026-08-18T15:05:01.552030+00:00,pix,948.15,False
99-trace-0017664,2026-08-18T15:05:02.991355+00:00,api_generic,247.13,False
99-trace-0008951,2026-08-18T15:05:04.227315+00:00,site_latency,732.91,False
99-trace-0017690,2026-08-18T15:05:08.898680+00:00,api_generic,37.65,False
99-trace-0000100,2026-08-18T15:05:09.085339+00:00,pix,202.79,True
99-trace-0008979,2026-08-18T15:05:09.267808+00:00,site_latency,782.63,False
99-trace-0008980,2026-08-18T15:05:09.344262+00:00,site_latency,946.17,True
99-trace-0008981,2026-08-18T15:05:09.349656+00:00,site_latency,694.4,False
99-trace-0017696,2026-08-18T15:05:10.192845+00:00,api_generic,1794.33,False
99-trace-0008988,2026-08-18T15:05:11.206819+00:00,site_latency,495.87,False
99-trace-0017705,2026-08-18T15:05:11.752622+00:00,api_generic,52.58,False
99-trace-0017713,2026-08-18T15:05:13.056590+00:00,api_generic,284.06,True
99-trace-0017724,2026-08-18T15:05:14.909719+00:00,api_generic,98.21,False
99-trace-0009007,2026-08-18T15:05:16.224135+00:00,site_latency,563.26,False
99-trace-0003887,2026-08-18T15:05:17.105679+00:00,checkout,2570.68,False
99-trace-0000122,2026-08-18T15:05:19.810853+00:00,pix,1322.79,False
99-trace-0003899,2026-08-18T15:05:20.402795+00:00,checkout,785.83,True
99-trace-0009037,2026-08-18T15:05:23.316871+00:00,site_latency,219.37,False
99-trace-0017764,2026-08-18T15:05:23.667366+00:00,api_generic,352.48,False
99-trace-0017766,2026-08-18T15:05:24.152983+00:00,api_generic,346.92,False
99-trace-0009043,2026-08-18T15:05:25.143051+00:00,site_latency,572.48,False
99-trace-0009067,2026-08-18T15:05:29.747846+00:00,site_latency,1547.02,False
99-trace-0009076,2026-08-18T15:05:31.072410+00:00,site_latency,577.88,False
99-trace-0009080,2026-08-18T15:05:31.576990+00:00,site_latency,2597.26,False
99-trace-0017803,2026-08-18T15:05:32.951665+00:00,api_generic,178.48,True
99-trace-0003936,2026-08-18T15:05:33.836962+00:00,checkout,859.59,True
99-trace-0009106,2026-08-18T15:05:36.362098+00:00,site_latency,273.26,False
99-trace-0009109,2026-08-18T15:05:36.749077+00:00,site_latency,803.2,True
99-trace-0000159,2026-08-18T15:05:36.974579+00:00,pix,299.83,False
99-trace-0003951,2026-08-18T15:05:37.047112+00:00,checkout,1166.4,False
99-trace-0009115,2026-08-18T15:05:37.824541+00:00,site_latency,844.58,False
99-trace-0017829,2026-08-18T15:05:40.180565+00:00,api_generic,295.83,False
99-trace-0009131,2026-08-18T15:05:41.159164+00:00,site_latency,535.47,False
99-trace-0009136,2026-08-18T15:05:41.795847+00:00,site_latency,942.9,False
99-trace-0003968,2026-08-18T15:05:41.810149+00:00,checkout,795.09,False
99-trace-0009141,2026-08-18T15:05:43.719122+00:00,site_latency,1067.65,False
99-trace-0003979,2026-08-18T15:05:44.088545+00:00,checkout,370.93,False
99-trace-0000169,2026-08-18T15:05:44.898632+00:00,pix,1095.19,False
99-trace-0017860,2026-08-18T15:05:46.205772+00:00,api_generic,346.62,False
99-trace-0017866,2026-08-18T15:05:48.451898+00:00,api_generic,55.11,False
99-trace-0009171,2026-08-18T15:05:49.311379+00:00,site_latency,195.41,True
99-trace-0000181,2026-08-18T15:05:49.980381+00:00,pix,432.96,False
99-trace-0004007,2026-08-18T15:05:55.604384+00:00,checkout,232.26,False
99-trace-0004012,2026-08-18T15:05:56.548833+00:00,checkout,372.18,False
99-trace-0017918,2026-08-18T15:05:58.749833+00:00,api_generic,2629.25,True
99-trace-0009221,2026-08-18T15:05:59.170303+00:00,site_latency,498.98,False
99-trace-0017928,2026-08-18T15:06:00.289401+00:00,api_generic,539.02,False
99-trace-0017929,2026-08-18T15:06:00.423533+00:00,api_generic,631.32,False
99-trace-0017933,2026-08-18T15:06:01.753492+00:00,api_generic,122.36,True
99-trace-0017940,2026-08-18T15:06:04.398211+00:00,api_generic,287.33,False
99-trace-0017941,2026-08-18T15:06:04.865566+00:00,api_generic,237.91,False
99-trace-0004037,2026-08-18T15:06:06.007721+00:00,checkout,923.08,False
99-trace-0009253,2026-08-18T15:06:06.990032+00:00,site_latency,679.5,False
99-trace-0000215,2026-08-18T15:06:07.929703+00:00,pix,928.84,False
99-trace-0017957,2026-08-18T15:06:08.084412+00:00,api_generic,333.66,False
99-trace-0017961,2026-08-18T15:06:09.244373+00:00,api_generic,256.88,False
99-trace-0009280,2026-08-18T15:06:09.801089+00:00,site_latency,508.81,False
99-trace-0000223,2026-08-18T15:06:09.812983+00:00,pix,305.23,False
99-trace-0009283,2026-08-18T15:06:10.169726+00:00,site_latency,573.32,False
99-trace-0000230,2026-08-18T15:06:10.995506+00:00,pix,243.18,False
99-trace-0009288,2026-08-18T15:06:11.252024+00:00,site_latency,587.05,False
99-trace-0004056,2026-08-18T15:06:12.161276+00:00,checkout,1254.34,False
99-trace-0017991,2026-08-18T15:06:15.591954+00:00,api_generic,590.78,False
99-trace-0017993,2026-08-18T15:06:15.852711+00:00,api_generic,353.69,False
99-trace-0009307,2026-08-18T15:06:15.879505+00:00,site_latency,697.68,False
99-trace-0017995,2026-08-18T15:06:16.092752+00:00,api_generic,260.58,False
99-trace-0018003,2026-08-18T15:06:17.110646+00:00,api_generic,234.46,True
99-trace-0018004,2026-08-18T15:06:17.389330+00:00,api_generic,336.41,False
99-trace-0009320,2026-08-18T15:06:18.035460+00:00,site_latency,198.96,False
99-trace-0018007,2026-08-18T15:06:18.074594+00:00,api_generic,284.24,False
99-trace-0009326,2026-08-18T15:06:18.817889+00:00,site_latency,122.34,False
99-trace-0004082,2026-08-18T15:06:20.979602+00:00,checkout,235.18,False
99-trace-0009337,2026-08-18T15:06:21.694924+00:00,site_latency,539.4,False
99-trace-0004085,2026-08-18T15:06:22.128837+00:00,checkout,254.8,False
99-trace-0004089,2026-08-18T15:06:24.147865+00:00,checkout,893.35,False
99-trace-0018042,2026-08-18T15:06:26.509732+00:00,api_generic,282.49,False
99-trace-0009381,2026-08-18T15:06:28.932706+00:00,site_latency,511.62,False
99-trace-0018055,2026-08-18T15:06:29.255962+00:00,api_generic,50.2,False
99-trace-0004101,2026-08-18T15:06:29.280988+00:00,checkout,1500.3,True
99-trace-0000266,2026-08-18T15:06:29.896094+00:00,pix,3981.95,True
99-trace-0009391,2026-08-18T15:06:30.809419+00:00,site_latency,244.98,False
