trace_id,timestamp,domain,latency_ms,is_error
99-trace-0008751,2026-08-18T15:04:26.230449+00:00,site_latency,220.05,False
99-trace-0003751,2026-08-18T15:04:26.359615+00:00,checkout,319.4,False
99-trace-0017501,2026-08-18T15:04:26.579481+00:00,api_generic,62.15,False
99-trace-0000001,2026-08-18T15:04:26.618689+00:00,pix,123.52,False
99-trace-0008752,2026-08-18T15:04:26.712918+00:00,site_latency,84.53,False
99-trace-0017502,2026-08-18T15:04:26.720947+00:00,api_generic,71.2,False
99-trace-0003752,2026-08-18T15:04:26.896776+00:00,checkout,321.52,False
99-trace-0008753,2026-08-18T15:04:26.898426+00:00,site_latency,196.89,False
99-trace-0008754,2026-08-18T15:04:26.915739+00:00,site_latency,291.58,False
99-trace-0003753,2026-08-18T15:04:26.937650+00:00,checkout,285.49,False
99-trace-0000002,2026-08-18T15:04:26.950576+00:00,pix,102.0,False
99-trace-0017503,2026-08-18T15:04:26.985208+00:00,api_generic,86.58,False
99-trace-0000003,2026-08-18T15:04:26.986500+00:00,pix,122.14,False
99-trace-0008755,2026-08-18T15:04:27.072888+00:00,site_latency,156.44,False
99-trace-0008756,2026-08-18T15:04:27.470566+00:00,site_latency,145.34,False
99-trace-0000004,2026-08-18T15:04:27.525417+00:00,pix,152.58,False
99-trace-0008757,2026-08-18T15:04:27.557331+00:00,site_latency,229.22,False
99-trace-0000005,2026-08-18T15:04:27.708508+00:00,pix,64.88,False
99-trace-0017504,2026-08-18T15:04:27.762611+00:00,api_generic,238.1,False
99-trace-0008758,2026-08-18T15:04:27.824137+00:00,site_latency,231.81,False
99-trace-0008759,2026-08-18T15:04:27.831806+00:00,site_latency,99.63,False
99-trace-0017505,2026-08-18T15:04:27.843704+00:00,api_generic,228.68,False
99-trace-0008760,2026-08-18T15:04:27.878958+00:00,site_latency,213.76,False
99-trace-0017506,2026-08-18T15:04:27.913554+00:00,api_generic,63.08,False
99-trace-0017507,2026-08-18T15:04:27.960104+00:00,api_generic,161.5,False
99-trace-0008761,2026-08-18T15:04:28.017586+00:00,site_latency,140.27,False
99-trace-0017508,2026-08-18T15:04:28.123548+00:00,api_generic,24.35,False
99-trace-0008762,2026-08-18T15:04:28.137427+00:00,site_latency,71.56,False
99-trace-0003754,2026-08-18T15:04:28.193397+00:00,checkout,307.1,False
99-trace-0017509,2026-08-18T15:04:28.256538+00:00,api_generic,80.91,False
99-trace-0008763,2026-08-18T15:04:28.345804+00:00,site_latency,132.45,False
99-trace-0000006,2026-08-18T15:04:28.507206+00:00,pix,216.38,False
