trace_id,timestamp,domain,latency_ms,is_error
99-trace-0017501,2026-08-18T15:04:26.579481+00:00,api_generic,62.15,False
99-trace-0003752,2026-08-18T15:04:26.896776+00:00,checkout,321.52,False
99-trace-0000003,2026-08-18T15:04:26.986500+00:00,pix,122.14,False
99-trace-0008757,2026-08-18T15:04:27.557331+00:00,site_latency,229.22,False
99-trace-0017504,2026-08-18T15:04:27.762611+00:00,api_generic,238.1,False
99-trace-0017506,2026-08-18T15:04:27.913554+00:00,api_generic,63.08,False
99-trace-0017507,2026-08-18T15:04:27.960104+00:00,api_generic,161.5,False
99-trace-0000006,2026-08-18T15:04:28.507206+00:00,pix,216.38,False
99-trace-0003755,2026-08-18T15:04:28.564941+00:00,checkout,241.84,False
99-trace-0017512,2026-08-18T15:04:29.179570+00:00,api_generic,170.06,False
99-trace-0000008,2026-08-18T15:04:29.195056+00:00,pix,97.39,False
99-trace-0017513,2026-08-18T15:04:29.215568+00:00,api_generic,613.96,False
99-trace-0017514,2026-08-18T15:04:29.337139+00:00,api_generic,126.35,False
99-trace-0003756,2026-08-18T15:04:29.385066+00:00,checkout,777.99,False
99-trace-0008766,2026-08-18T15:04:29.575753+00:00,site_latency,72.82,False
99-trace-0003759,2026-08-18T15:04:29.660343+00:00,checkout,277.01,False
99-trace-0000010,2026-08-18T15:04:29.711155+00:00,pix,166.27,False
99-trace-0017518,2026-08-18T15:04:29.878829+00:00,api_generic,593.31,False
99-trace-0017520,2026-08-18T15:04:29.978723+00:00,api_generic,76.15,False
99-trace-0003760,2026-08-18T15:04:30.147480+00:00,checkout,269.35,False
99-trace-0003761,2026-08-18T15:04:30.297991+00:00,checkout,427.35,False
99-trace-0017523,2026-08-18T15:04:30.579187+00:00,api_generic,91.9,False
99-trace-0000014,2026-08-18T15:04:30.717358+00:00,pix,230.18,True
99-trace-0003763,2026-08-18T15:04:31.109557+00:00,checkout,206.44,False
99-trace-0000015,2026-08-18T15:04:31.328083+00:00,pix,134.62,False
99-trace-0008784,2026-08-18T15:04:32.233580+00:00,site_latency,174.9,False
99-trace-0008786,2026-08-18T15:04:32.963278+00:00,site_latency,991.53,False
99-trace-0003767,2026-08-18T15:04:33.187670+00:00,checkout,404.73,False
99-trace-0000021,2026-08-18T15:04:33.508277+00:00,pix,154.48,False
99-trace-0017534,2026-08-18T15:04:33.670279+00:00,api_generic,116.49,False
99-trace-0008790,2026-08-18T15:04:33.963596+00:00,site_latency,650.73,False
99-trace-0003768,2026-08-18T15:04:34.144065+00:00,checkout,209.0,False
99-trace-0000024,2026-08-18T15:04:34.166449+00:00,pix,126.05,False
99-trace-0017537,2026-08-18T15:04:34.622437+00:00,api_generic,94.08,False
99-trace-0003776,2026-08-18T15:04:36.552176+00:00,checkout,337.81,False
99-trace-0003778,2026-08-18T15:04:36.753662+00:00,checkout,283.61,False
99-trace-0017542,2026-08-18T15:04:36.853021+00:00,api_generic,244.6,False
99-trace-0017545,2026-08-18T15:04:37.010192+00:00,api_generic,108.07,False
99-trace-0000035,2026-08-18T15:04:37.633722+00:00,pix,238.37,False
99-trace-0017548,2026-08-18T15:04:37.654624+00:00,api_generic,130.42,False
99-trace-0003781,2026-08-18T15:04:37.886134+00:00,checkout,766.54,False
99-trace-0017552,2026-08-18T15:04:38.053100+00:00,api_generic,129.57,False
99-trace-0008805,2026-08-18T15:04:38.419172+00:00,site_latency,875.51,False
99-trace-0008806,2026-08-18T15:04:38.483003+00:00,site_latency,134.19,False
99-trace-0003786,2026-08-18T15:04:38.525955+00:00,checkout,147.03,False
99-trace-0000038,2026-08-18T15:04:39.152660+00:00,pix,160.98,False
99-trace-0003791,2026-08-18T15:04:40.054972+00:00,checkout,665.43,False
99-trace-0008813,2026-08-18T15:04:40.253595+00:00,site_latency,270.66,False
99-trace-0017560,2026-08-18T15:04:40.395805+00:00,api_generic,44.43,False
99-trace-0008816,2026-08-18T15:04:40.499524+00:00,site_latency,66.6,False
99-trace-0003792,2026-08-18T15:04:40.728797+00:00,checkout,410.6,False
99-trace-0000042,2026-08-18T15:04:40.833684+00:00,pix,200.83,False
99-trace-0017565,2026-08-18T15:04:41.194174+00:00,api_generic,312.6,False
99-trace-0017566,2026-08-18T15:04:41.218378+00:00,api_generic,453.97,False
99-trace-0008824,2026-08-18T15:04:41.926432+00:00,site_latency,291.74,False
99-trace-0000047,2026-08-18T15:04:43.059807+00:00,pix,104.74,False
99-trace-0017579,2026-08-18T15:04:43.228940+00:00,api_generic,58.76,False
99-trace-0003798,2026-08-18T15:04:43.255813+00:00,checkout,204.85,False
99-trace-0003799,2026-08-18T15:04:43.850415+00:00,checkout,274.61,False
99-trace-0003800,2026-08-18T15:04:44.246850+00:00,checkout,297.56,False
99-trace-0008834,2026-08-18T15:04:44.762808+00:00,site_latency,627.19,False
99-trace-0017586,2026-08-18T15:04:45.182440+00:00,api_generic,59.99,False
99-trace-0003807,2026-08-18T15:04:45.356046+00:00,checkout,391.06,False
99-trace-0008837,2026-08-18T15:04:45.643559+00:00,site_latency,619.52,False
99-trace-0008844,2026-08-18T15:04:46.998267+00:00,site_latency,226.33,False
99-trace-0003812,2026-08-18T15:04:47.393578+00:00,checkout,315.62,False
99-trace-0017596,2026-08-18T15:04:47.541736+00:00,api_generic,78.3,False
